Id,Week,Date,HomeTeam,Score,AwayTeam,Attendence,HTShotsOnTarget,ATShotsOnTarget,HTShotsTotal,ATShotsTotal,HTPossesion,ATPossesion,HTPassesTotal,ATPassesTotal,HTPassingAccuracy,ATPassingAccuracy,HTResult,HTPoints,HTGoalsScored,HTGoalsAgainst,HTGoalDifference,HTMatchesWon,HTMatchesLost,HTMatchesDraw,ATPoints,ATGoalsScored,ATGoalsAgainst,ATGoalDifference,ATMatchesWon,ATMatchesLost,ATMatchesDraw
0,1,08/12/2022 00:00:00,Osasuna,2:1,Sevilla,18536,4,3,11,10,35,65,307,566,73,85,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,08/13/2022 00:00:00,Celta Vigo,2:2,Espanyol,13859,3,1,8,9,60,40,583,392,80,72,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,08/13/2022 00:00:00,Valladolid,0:3,Villarreal,17543,6,4,12,10,51,49,478,453,80,77,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,08/13/2022 00:00:00,Barcelona,0:0,Rayo Vallecano,81104,5,2,21,4,67,33,617,303,85,69,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,08/14/2022 00:00:00,Cádiz,0:1,Real Sociedad,1657,1,7,7,15,41,59,343,502,69,80,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,08/14/2022 00:00:00,Valencia,1:0,Girona,39359,1,1,16,5,46,54,381,450,78,81,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,08/14/2022 00:00:00,Almería,1:2,Real Madrid,14386,6,15,10,29,33,67,344,707,81,89,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,08/15/2022 00:00:00,Athletic Club,0:0,Mallorca,39747,6,2,23,6,64,36,536,303,79,67,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,08/15/2022 00:00:00,Getafe,0:3,Atlético Madrid,12235,0,5,10,12,42,58,434,595,77,83,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,08/15/2022 00:00:00,Betis,3:0,Elche,50622,8,1,17,4,71,29,648,260,86,68,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,08/19/2022 00:00:00,Espanyol,0:2,Rayo Vallecano,16071,1,3,13,8,54,46,510,426,81,81,L,1,2,2,0,0,0,1,1,0,0,0,0,0,1
11,2,08/19/2022 00:00:00,Sevilla,1:1,Valladolid,33991,2,3,18,6,61,39,524,329,80,74,D,0,1,2,-1,0,1,0,0,0,3,-3,0,1,0
12,2,08/20/2022 00:00:00,Osasuna,2:0,Cádiz,18587,1,2,14,9,55,45,460,373,74,71,W,3,2,1,1,1,0,0,0,0,1,-1,0,1,0
13,2,08/20/2022 00:00:00,Mallorca,1:2,Betis,15579,7,1,13,6,48,52,405,439,76,80,L,1,0,0,0,0,0,1,3,3,0,3,1,0,0
14,2,08/20/2022 00:00:00,Celta Vigo,1:4,Real Madrid,15681,1,5,14,14,51,49,581,565,86,87,L,1,2,2,0,0,0,1,3,2,1,1,1,0,0
15,2,08/21/2022 00:00:00,Athletic Club,1:0,Valencia,43333,2,0,12,10,38,62,349,573,72,82,W,1,0,0,0,0,0,1,3,1,0,1,1,0,0
16,2,08/21/2022 00:00:00,Atlético Madrid,0:2,Villarreal,57033,5,5,13,19,51,49,527,511,83,89,L,3,3,0,3,1,0,0,3,3,0,3,1,0,0
17,2,08/21/2022 00:00:00,Real Sociedad,1:4,Barcelona,36201,5,7,10,15,42,58,419,587,80,89,L,3,1,0,1,1,0,0,1,0,0,0,0,0,1
18,2,08/22/2022 00:00:00,Elche,1:1,Almería,23361,3,7,13,12,54,46,473,398,80,79,D,0,0,3,-3,0,1,0,0,1,2,-1,0,1,0
19,2,08/22/2022 00:00:00,Girona,3:1,Getafe,1046,6,3,12,7,66,34,583,299,86,71,W,0,0,1,-1,0,1,0,0,0,3,-3,0,1,0
20,3,08/26/2022 00:00:00,Girona,0:1,Celta Vigo,11329,3,6,11,11,53,47,554,491,83,80,L,3,3,2,1,1,1,0,1,3,6,-3,0,1,1
21,3,08/26/2022 00:00:00,Betis,1:0,Osasuna,5258,1,2,7,12,55,45,504,418,81,75,W,6,5,1,4,2,0,0,6,4,1,3,2,0,0
22,3,08/27/2022 00:00:00,Elche,0:1,Real Sociedad,22656,5,4,12,8,45,55,416,503,78,82,L,1,1,4,-3,0,1,1,3,2,4,-2,1,1,0
23,3,08/27/2022 00:00:00,Rayo Vallecano,0:2,Mallorca,10944,0,4,15,9,65,35,614,334,79,72,L,4,2,0,2,1,0,1,1,1,2,-1,0,1,1
24,3,08/27/2022 00:00:00,Almería,2:1,Sevilla,13788,5,5,11,13,33,67,286,592,68,86,W,1,2,3,-1,0,1,1,1,2,3,-1,0,1,1
25,3,08/28/2022 00:00:00,Getafe,0:0,Villarreal,9815,2,6,8,11,36,64,300,527,70,85,D,0,1,6,-5,0,2,0,6,5,0,5,2,0,0
26,3,08/28/2022 00:00:00,Barcelona,4:0,Valladolid,83972,9,2,24,8,67,33,694,346,87,73,W,4,4,1,3,1,0,1,1,1,4,-3,0,1,1
27,3,08/28/2022 00:00:00,Espanyol,1:3,Real Madrid,25778,4,6,15,19,36,64,337,605,75,88,L,1,2,4,-2,0,1,1,6,6,2,4,2,0,0
28,3,08/29/2022 00:00:00,Cádiz,0:4,Athletic Club,17029,3,7,9,19,38,62,378,613,75,85,L,0,0,3,-3,0,2,0,4,1,0,1,1,0,1
29,3,08/29/2022 00:00:00,Valencia,0:1,Atlético Madrid,4391,2,7,12,13,69,31,635,284,85,71,L,3,1,1,0,1,1,0,3,3,2,1,1,1,0
30,4,09/02/2022 00:00:00,Celta Vigo,3:0,Cádiz,1451,5,0,9,7,58,42,571,420,83,78,W,4,4,6,-2,1,1,1,0,0,7,-7,0,3,0
31,4,09/03/2022 00:00:00,Mallorca,1:1,Girona,1339,4,3,10,9,51,49,447,428,82,83,D,4,3,2,1,1,1,1,3,3,3,0,1,2,0
